,Location,Restaurant Name,Rating,Number of Ratings,Cuisine
277,Srinagar,5. Nathu Sweets,4.0 of 5 bubbles,212 reviews,"Indian, Fast food"
278,Srinagar,6. Lacima cafe and pizzeria,5.0 of 5 bubbles,102 reviews,"Italian, Pizza"
279,Srinagar,7. Mughal Darbar,3.5 of 5 bubbles,754 reviews,"Indian, Asian"
280,Srinagar,8. Earthen Oven Restaurant,5.0 of 5 bubbles,40 reviews,"Indian, Asian"
281,Srinagar,9. Chai Jaai,4.5 of 5 bubbles,60 reviews,"Coffee & Tea, Cafe"
282,Srinagar,10. Lhasa Restaurant,4.0 of 5 bubbles,238 reviews,"Chinese, Indian"
283,Srinagar,11. Jee Enn Bakery,4.5 of 5 bubbles,64 reviews,"Bakeries, Fast food"
284,Srinagar,12. Nedous Dining Room,4.0 of 5 bubbles,71 reviews,Indian
285,Srinagar,13. Wazwan,4.5 of 5 bubbles,63 reviews,"Indian, Asian"
286,Srinagar,"14. The Chinar at The LaLiT Grand Palace, Srinagar",4.0 of 5 bubbles,195 reviews,Indian
287,Srinagar,15. Punjabi Tadka,4.0 of 5 bubbles,53 reviews,"Indian, Asian"
288,Srinagar,16. Pincer Vegetarian Foods,4.0 of 5 bubbles,57 reviews,"Indian, Deli"
289,Srinagar,17. Niramish,4.5 of 5 bubbles,47 reviews,"Indian, International"
290,Srinagar,18. Mummy Please,4.0 of 5 bubbles,59 reviews,"Indian, Fast food"
291,Srinagar,19. Cafe de Lintz,4.0 of 5 bubbles,37 reviews,"Indian, Chinese"
292,Srinagar,20. Winterfell Cafe,4.5 of 5 bubbles,41 reviews,"Cafe, International"
293,Srinagar,21. Hollywood Bakery,4.5 of 5 bubbles,24 reviews,"Bakeries, Fast food"
294,Srinagar,22. 14th Avenue Cafe Grill & Bakeshop,4.0 of 5 bubbles,57 reviews,"Cafe, Italian"
295,Srinagar,"23. Jade Dragon, Vivanta Taj Hotel",4.0 of 5 bubbles,31 reviews,"Asian, Chinese"
296,Srinagar,24. Creme,5.0 of 5 bubbles,10 reviews,"Coffee & Tea, Indian"
297,Srinagar,25. Delhi Rasoi,4.0 of 5 bubbles,21 reviews,"Indian, Fast food"
